txn_id,amount_usd,merchant_cat,country,user_age,acct_age_days,txn_hour,device,prior_fraud_flags,velocity_24h,avg_txn_usd,distance_km,is_weekend,is_fraud
T0001,48.12,Electronics,IN,32,468,5,Mobile,0,2,53.14,57.8,No,0
T0002,12.13,Other,IN,37,255,9,Web,0,2,5.0,26.3,No,0
T0003,93.61,Restaurant,US,29,159,18,Mobile,0,2,107.33,74.2,No,0
T0004,51.85,Travel,CN,37,123,9,Mobile,0,0,45.83,51.4,Yes,0
T0005,7.15,Grocery,UK,18,1039,2,Mobile,0,1,34.46,55.6,No,0
T0006,42.13,Grocery,US,43,137,0,Web,0,3,18.6,48.3,Yes,0
T0007,21.73,Grocery,RU,36,229,17,Mobile,0,1,5.23,6.4,Yes,0
T0008,31.25,Other,US,33,172,14,Mobile,0,1,40.34,57.6,No,0
T0009,6.9,Restaurant,IN,40,36,19,Mobile,0,2,8.76,44.9,Yes,0
T0010,148.1,Restaurant,US,20,82,3,Mobile,0,2,134.29,42.7,Yes,0
T0011,13.99,Grocery,BR,61,84,17,ATM,0,3,5.0,45.6,No,0
T0012,28.84,Other,US,36,473,9,Web,0,1,27.97,217.4,No,0
T0013,15.15,Restaurant,UK,36,208,21,Mobile,0,2,5.0,28.6,No,0
T0014,28.51,Grocery,US,26,609,21,Web,0,5,17.62,5.6,Yes,0
T0015,32.7,Grocery,IN,38,493,18,Web,0,1,23.83,36.0,No,0
T0016,33.62,Grocery,RU,54,85,16,Web,0,4,35.15,8.1,Yes,0
T0017,149.27,Electronics,US,50,331,9,Mobile,0,1,168.95,82.1,No,0
T0018,33.07,Travel,UK,48,543,3,Mobile,0,4,34.88,14.4,Yes,0
T0019,180.26,Electronics,US,44,401,4,Mobile,0,3,174.6,272.0,No,0
T0020,8.88,Grocery,NG,33,366,6,Mobile,0,0,12.59,9.8,No,0
T0021,120.38,Restaurant,US,20,538,18,Mobile,2,1,84.49,23.7,Yes,0
T0022,98.0,Grocery,BR,35,23,18,ATM,4,3,62.76,7.9,No,1
T0023,109.32,Grocery,BR,35,525,7,Web,0,1,113.84,27.2,Yes,0
T0024,309.53,Electronics,US,50,127,0,Mobile,0,1,318.33,33.1,Yes,0
T0025,5.0,Electronics,US,41,339,23,Web,1,3,16.84,68.0,Yes,0
T0026,5.0,Restaurant,US,57,110,7,Web,2,2,5.0,0.1,No,0
T0027,38.74,Grocery,BR,52,730,18,Mobile,0,4,51.28,13.1,Yes,0
T0028,5.0,Travel,US,32,262,16,Mobile,1,4,18.07,15.7,No,0
T0029,5.0,Travel,US,18,411,8,Web,0,2,5.0,45.9,No,0
T0030,29.03,Grocery,BR,54,632,19,Mobile,0,1,16.16,16.2,No,0
T0031,22.36,Restaurant,US,54,902,22,Mobile,0,1,10.61,33.4,No,0
T0032,5.94,Grocery,UK,21,526,15,Mobile,0,1,19.05,33.4,No,0
T0033,19.62,Grocery,US,56,64,8,Mobile,0,1,29.53,83.2,Yes,0
T0034,77.4,Other,US,42,771,18,Web,0,3,59.19,104.3,No,0
T0035,59.13,Other,BR,39,385,15,Mobile,2,2,92.96,188.7,No,0
T0036,76.7,Restaurant,US,57,376,20,Web,0,4,66.87,91.9,Yes,0
T0037,22.84,Electronics,US,54,1017,12,Mobile,0,1,37.82,105.2,No,0
T0038,121.68,Grocery,NG,45,114,18,Mobile,0,3,131.92,177.0,No,0
T0039,225.89,Restaurant,US,43,109,4,Web,1,0,245.85,87.8,Yes,0
T0040,44.42,Electronics,Other,45,287,1,Web,0,1,67.05,11.4,No,0
T0041,23.06,Grocery,Other,33,555,3,ATM,0,1,48.21,78.6,No,0
T0042,35.26,Travel,US,37,237,11,Web,0,0,54.15,61.8,No,0
T0043,10.51,Grocery,US,27,401,17,Web,0,1,5.0,40.6,Yes,0
T0044,25.9,Other,IN,34,240,2,Web,0,0,17.01,9.6,No,0
T0045,67.58,Grocery,US,33,377,20,Mobile,0,2,88.61,2.5,Yes,0
